book_id,title,author,author_death_year,author_death_year_disputed,publication_year,source,source_url,language,notes
moby-dick-or-the-whale__melville-herman__1851,"Moby Dick; Or, The Whale","Melville, Herman",1891,false,1851,gutenberg,https://www.gutenberg.org/ebooks/2701,en,publication year via Open Library (earliest edition found; not independently verified)
pride-and-prejudice__austen-jane__1813,Pride and Prejudice,"Austen, Jane",1817,false,1813,gutenberg,https://www.gutenberg.org/ebooks/1342,en,publication year via Open Library (earliest edition found; not independently verified)
a-room-with-a-view__forster-e-m-edward-morgan__1905,A Room with a View,"Forster, E. M. (Edward Morgan)",1970,false,1905,gutenberg,https://www.gutenberg.org/ebooks/2641,en,publication year via Open Library (earliest edition found; not independently verified)
the-odyssey-rendered-into-english-prose-for-the-use-of-those-who-cannot-read-the-original__homer__unk,The Odyssey: Rendered into English prose for the use of those who cannot read the original,Homer,-650,false,,gutenberg,https://www.gutenberg.org/ebooks/1727,en,"classical/ancient work (author died before 1400) -- original composition predates reliable publication-year records, not looked up automatically; needs manual research"
romeo-and-juliet__shakespeare-william__1595,Romeo and Juliet,"Shakespeare, William",1616,false,1595,gutenberg,https://www.gutenberg.org/ebooks/1513,en,publication year via Open Library (earliest edition found; not independently verified)
crime-and-punishment__dostoyevsky-fyodor__1866,Crime and Punishment,"Dostoyevsky, Fyodor",1881,false,1866,gutenberg,https://www.gutenberg.org/ebooks/2554,en,publication year via Open Library (earliest edition found; not independently verified)
the-mysteries-of-udolpho__radcliffe-ann-ward__1794,The Mysteries of Udolpho,"Radcliffe, Ann Ward",1823,false,1794,gutenberg,https://www.gutenberg.org/ebooks/3268,en,publication year via Open Library (earliest edition found; not independently verified)
carmen__merimee-prosper__unk,Carmen,"Mérimée, Prosper",1870,false,,gutenberg,https://www.gutenberg.org/ebooks/2465,en,"Open Library match discarded: returned 1800, which predates author's birth year (1803) -- likely a mismatched search result; needs manual research"
the-secret-of-chimneys__christie-agatha__1925,The Secret of Chimneys,"Christie, Agatha",1976,false,1925,gutenberg,https://www.gutenberg.org/ebooks/65238,en,publication year via Open Library (earliest edition found; not independently verified)
sense-and-sensibility__austen-jane__1811,Sense and Sensibility,"Austen, Jane",1817,false,1811,gutenberg,https://www.gutenberg.org/ebooks/21839,en,publication year via Open Library (earliest edition found; not independently verified)
the-green-mummy__hume-fergus__1908,The Green Mummy,"Hume, Fergus",1932,false,1908,gutenberg,https://www.gutenberg.org/ebooks/2868,en,publication year via Open Library (earliest edition found; not independently verified)
the-adventures-of-sherlock-holmes__doyle-arthur-conan__1892,The Adventures of Sherlock Holmes,"Doyle, Arthur Conan",1930,false,1892,gutenberg,https://www.gutenberg.org/ebooks/1661,en,publication year via Open Library (earliest edition found; not independently verified)
jane-eyre-an-autobiography__bronte-charlotte__1848,Jane Eyre: An Autobiography,"Brontë, Charlotte",1855,false,1848,gutenberg,https://www.gutenberg.org/ebooks/1260,en,publication year via Open Library (earliest edition found; not independently verified)
a-honeymoon-in-space__griffith-george-chetwynd__unk,A Honeymoon in Space,"Griffith, George Chetwynd",1906,false,,gutenberg,https://www.gutenberg.org/ebooks/19476,en,"Open Library match discarded: returned 1975, which is more than 5 years after author's death (1906) -- likely an indexed reprint rather than the original edition; needs manual research"
bidwell-s-travels-from-wall-street-to-london-prison-fifteen-years-in-solitude__bidwell-austin__2013,"Bidwell's Travels, from Wall Street to London Prison: Fifteen Years in Solitude","Bidwell, Austin",,false,2013,gutenberg,https://www.gutenberg.org/ebooks/24739,en,publication year via Open Library (earliest edition found; not independently verified); author death year unknown (Gutendex has no record)
the-misplaced-battleship__harrison-harry__2015,The Misplaced Battleship,"Harrison, Harry",2012,false,2015,gutenberg,https://www.gutenberg.org/ebooks/22541,en,publication year via Open Library (earliest edition found; not independently verified)
the-blue-castle-a-novel__montgomery-l-m-lucy-maud__1926,The Blue Castle: a novel,"Montgomery, L. M. (Lucy Maud)",1942,false,1926,gutenberg,https://www.gutenberg.org/ebooks/67979,en,publication year via Open Library (earliest edition found; not independently verified)
my-life-volume-1__wagner-richard__unk,My Life — Volume 1,"Wagner, Richard",1883,false,,gutenberg,https://www.gutenberg.org/ebooks/5197,en,"Open Library match discarded: returned 2006, which is more than 5 years after author's death (1883) -- likely an indexed reprint rather than the original edition; needs manual research"
alice-s-adventures-in-wonderland__carroll-lewis__unk,Alice's Adventures in Wonderland,"Carroll, Lewis",1898,false,,gutenberg,https://www.gutenberg.org/ebooks/11,en,"Open Library match discarded: returned 1800, which predates author's birth year (1832) -- likely a mismatched search result; needs manual research"
the-complete-works-of-william-shakespeare__shakespeare-william__1584,The Complete Works of William Shakespeare,"Shakespeare, William",1616,false,1584,gutenberg,https://www.gutenberg.org/ebooks/100,en,publication year via Open Library (earliest edition found; not independently verified)
