book_id,title,author,author_death_year,author_death_year_disputed,publication_year,source,source_url,language,notes
pride-and-prejudice__austen-jane__1813,Pride and Prejudice,"Austen, Jane",,false,1813,openlibrary,https://openlibrary.org/works/OL66554W,en,pd_basis=pub_year<=1930
alices-adventures-in-wonderland__carroll-lewis__1865,Alice's Adventures in Wonderland,"Carroll, Lewis",,false,1865,openlibrary,https://openlibrary.org/works/OL138052W,en,pd_basis=pub_year<=1930
a-christmas-carol__dickens-charles__1843,A Christmas Carol,"Dickens, Charles",,false,1843,openlibrary,https://openlibrary.org/works/OL32466W,en,pd_basis=pub_year<=1930
the-picture-of-dorian-gray__wilde-oscar__1890,The Picture of Dorian Gray,"Wilde, Oscar",,false,1890,openlibrary,https://openlibrary.org/works/OL8193416W,en,pd_basis=pub_year<=1930
wuthering-heights__bronte-emily__1846,Wuthering Heights,"Brontë, Emily",,false,1846,openlibrary,https://openlibrary.org/works/OL21177W,en,pd_basis=pub_year<=1930
adventures-of-huckleberry-finn__twain-mark__1876,Adventures of Huckleberry Finn,"Twain, Mark",,false,1876,openlibrary,https://openlibrary.org/works/OL53908W,en,pd_basis=pub_year<=1930
the-scarlet-letter__hawthorne-nathaniel__1800,The Scarlet Letter,"Hawthorne, Nathaniel",,false,1800,openlibrary,https://openlibrary.org/works/OL455305W,en,pd_basis=pub_year<=1930
robinson-crusoe__defoe-daniel__1686,Robinson Crusoe,"Defoe, Daniel",,false,1686,openlibrary,https://openlibrary.org/works/OL45089W,en,pd_basis=pub_year<=1930
hamlet__shakespeare-william__1603,Hamlet,"Shakespeare, William",,false,1603,openlibrary,https://openlibrary.org/works/OL9170454W,en,pd_basis=pub_year<=1930
emma__austen-jane__1815,Emma,"Austen, Jane",,false,1815,openlibrary,https://openlibrary.org/works/OL66513W,en,pd_basis=pub_year<=1930
oliver-twist__dickens-charles__1822,Oliver Twist,"Dickens, Charles",,false,1822,openlibrary,https://openlibrary.org/works/OL8193478W,en,pd_basis=pub_year<=1930
frankenstein-or-the-modern-prometheus__shelley-mary__1818,"Frankenstein; or, The Modern Prometheus","Shelley, Mary",,false,1818,openlibrary,https://openlibrary.org/works/OL450063W,en,pd_basis=pub_year<=1930
sense-and-sensibility__austen-jane__1811,Sense and Sensibility,"Austen, Jane",,false,1811,openlibrary,https://openlibrary.org/works/OL66562W,en,pd_basis=pub_year<=1930
a-tale-of-two-cities__dickens-charles__1800,A Tale of Two Cities,"Dickens, Charles",,false,1800,openlibrary,https://openlibrary.org/works/OL8193465W,en,pd_basis=pub_year<=1930
the-wonderful-wizard-of-oz__baum-l-frank__1899,The Wonderful Wizard of Oz,"Baum, L. Frank",,false,1899,openlibrary,https://openlibrary.org/works/OL18417W,en,pd_basis=pub_year<=1930
treasure-island__stevenson-robert-louis__1880,Treasure Island,"Stevenson, Robert Louis",,false,1880,openlibrary,https://openlibrary.org/works/OL24034W,en,pd_basis=pub_year<=1930
dracula__stoker-bram__1897,Dracula,"Stoker, Bram",,false,1897,openlibrary,https://openlibrary.org/works/OL85892W,en,pd_basis=pub_year<=1930
little-women__alcott-louisa-may__1848,Little Women,"Alcott, Louisa May",,false,1848,openlibrary,https://openlibrary.org/works/OL29983W,en,pd_basis=pub_year<=1930
macbeth__shakespeare-william__1508,Macbeth,"Shakespeare, William",,false,1508,openlibrary,https://openlibrary.org/works/OL258902W,en,pd_basis=pub_year<=1930
gullivers-travels__swift-jonathan__1726,Gulliver's Travels,"Swift, Jonathan",,false,1726,openlibrary,https://openlibrary.org/works/OL20600W,en,pd_basis=pub_year<=1930
the-call-of-the-wild__london-jack__1903,The Call of the Wild,"London, Jack",,false,1903,openlibrary,https://openlibrary.org/works/OL14942956W,en,pd_basis=pub_year<=1930
king-lear__shakespeare-william__1608,King Lear,"Shakespeare, William",,false,1608,openlibrary,https://openlibrary.org/works/OL259026W,en,pd_basis=pub_year<=1930
the-secret-garden__burnett-frances-hodgson__1911,The Secret Garden,"Burnett, Frances Hodgson",,false,1911,openlibrary,https://openlibrary.org/works/OL69612W,en,pd_basis=pub_year<=1930
