book_id,title,author,author_death_year,author_death_year_disputed,publication_year,source,source_url,language,notes
all-quiet-on-the-western-front__remarque-erich-maria__1929,All Quiet on the Western Front,"Remarque, Erich Maria",,false,1929,publishers-weekly-bestsellers,https://en.wikipedia.org/wiki/Publishers_Weekly_list_of_bestselling_novels_in_the_United_States_in_the_1920s,en,"significance=PW bestseller #1 of 1929; renewal_determination: renewal FOUND in Stanford CRD (id RE050763, renewed 1980, class PWH)"
dodsworth__lewis-sinclair__1929,Dodsworth,"Lewis, Sinclair",,false,1929,publishers-weekly-bestsellers,https://en.wikipedia.org/wiki/Publishers_Weekly_list_of_bestselling_novels_in_the_United_States_in_the_1920s,en,"significance=PW bestseller #2 of 1929; renewal_determination: renewal FOUND in Stanford CRD (id R167120, renewed 1956, class C)"
dark-hester__sedgwick-anne-douglas__1929,Dark Hester,"Sedgwick, Anne Douglas",,false,1929,publishers-weekly-bestsellers,https://en.wikipedia.org/wiki/Publishers_Weekly_list_of_bestselling_novels_in_the_United_States_in_the_1920s,en,"significance=PW bestseller #3 of 1929; renewal_determination: renewal FOUND in Stanford CRD (id R183511, renewed 1957, class Wr)"
the-bishop-murder-case__dine-s-s-van__1929,The Bishop Murder Case,"Dine, S. S. Van",,false,1929,publishers-weekly-bestsellers,https://en.wikipedia.org/wiki/Publishers_Weekly_list_of_bestselling_novels_in_the_United_States_in_the_1920s,en,"significance=PW bestseller #4 of 1929; renewal_determination: UNCERTAIN: possible renewal for this author needs manual check (closest CRD id R280605, 'The dragon murder case, (A Philo Vance s', renewed 1961)"
roper-s-row__deeping-warwick__1929,Roper's Row,"Deeping, Warwick",,false,1929,publishers-weekly-bestsellers,https://en.wikipedia.org/wiki/Publishers_Weekly_list_of_bestselling_novels_in_the_United_States_in_the_1920s,en,"significance=PW bestseller #5 of 1929; renewal_determination: renewal FOUND in Stanford CRD (id R185544, renewed 1957, class W)"
peder-victorious__rolvaag-o-e__1929,Peder Victorious,"Rolvaag, O. E.",,false,1929,publishers-weekly-bestsellers,https://en.wikipedia.org/wiki/Publishers_Weekly_list_of_bestselling_novels_in_the_United_States_in_the_1920s,en,"significance=PW bestseller #6 of 1929; renewal_determination: renewal FOUND in Stanford CRD (id R172587, renewed 1956, class W)"
cimarron__ferber-edna__1930,Cimarron,"Ferber, Edna",,false,1930,publishers-weekly-bestsellers,https://en.wikipedia.org/wiki/Publishers_Weekly_list_of_bestselling_novels_in_the_United_States_in_the_1930s,en,"significance=PW bestseller #1 of 1930; renewal_determination: renewal FOUND in Stanford CRD (id R188561, renewed 1957, class A)"
exile__deeping-warwick__1930,Exile,"Deeping, Warwick",,false,1930,publishers-weekly-bestsellers,https://en.wikipedia.org/wiki/Publishers_Weekly_list_of_bestselling_novels_in_the_United_States_in_the_1930s,en,"significance=PW bestseller #2 of 1930; renewal_determination: renewal FOUND in Stanford CRD (id R202967, renewed 1957, class W)"
the-woman-of-andros__wilder-thornton__1930,The Woman of Andros,"Wilder, Thornton",,false,1930,publishers-weekly-bestsellers,https://en.wikipedia.org/wiki/Publishers_Weekly_list_of_bestselling_novels_in_the_United_States_in_the_1930s,en,"significance=PW bestseller #3 of 1930; renewal_determination: renewal FOUND in Stanford CRD (id R203128, renewed 1957, class A)"
years-of-grace__barnes-margaret-ayer__1930,Years of Grace,"Barnes, Margaret Ayer",,false,1930,publishers-weekly-bestsellers,https://en.wikipedia.org/wiki/Publishers_Weekly_list_of_bestselling_novels_in_the_United_States_in_the_1930s,en,"significance=PW bestseller #4 of 1930; renewal_determination: renewal FOUND in Stanford CRD (id R213033, renewed 1958, class A)"
