book_id,country_of_first_publication,simultaneous_us_publication,is_anonymous_pseudonymous_or_corporate,had_copyright_notice_at_publication,renewal_filed,creation_year,source,notes
a-farewell-to-arms__hemingway-ernest__1929,,,,,true,,nypl-cce-registrations+renewals,matched regnum=A12869 regdate=1929-09-27 title_score=1.00 author_score=1.00 on 2026-08-13
a-l-echelle-humaine__blum-leon__1945,,,,,true,,nypl-cce-registrations+renewals,matched regnum=AF50704 regdate=1945-04-15 title_score=0.94 author_score=0.89 on 2026-08-13
autobiography-of-a-yogi__yogananda-paramahansa__1946,,,,,true,,nypl-cce-registrations+renewals,matched regnum=A9494 regdate=1946-12-12 title_score=1.00 author_score=0.98 on 2026-08-13
bambi-s-children__salten-felix__1939,,,,,true,,nypl-cce-registrations+renewals,matched regnum=A134593 regdate=1939-12-01 title_score=0.94 author_score=1.00 on 2026-08-13
barry-locke-half-back__barbour-ralph-henry__1925,,,,,true,,nypl-cce-registrations+renewals,matched regnum=A861830 regdate=1925-09-12 title_score=1.00 author_score=1.00 on 2026-08-13
confessions-of-an-actor__barrymore-john__1926,,,,,true,,nypl-cce-registrations+renewals,matched regnum=A890290 regdate=1926-04-08 title_score=1.00 author_score=1.00 on 2026-08-13
das-lied-von-bernadette__werfel-franz__1941,,,,,true,,nypl-cce-registrations+renewals,matched regnum=AF48402 regdate=1941-11-15 title_score=1.00 author_score=1.00 on 2026-08-13
das-schachspiel-systematisches-lehrbuch-fur-anfanger-und-geubte__tarrasch-siegbert__1931,,,,,false,,nypl-cce-registrations+renewals,matched regnum=AF16148 regdate=1931-12-21 title_score=0.98 author_score=1.00 on 2026-08-13
der-mensch-und-die-technik__spengler-oswald__1931,,,,,false,,nypl-cce-registrations+renewals,matched regnum=AF13813 regdate=1931-07-07 title_score=1.00 author_score=1.00 on 2026-08-13
diagnosis-of-our-time__mannheim-karl__1943,,,,,false,,nypl-cce-registrations+renewals,matched regnum=A181144 regdate=1944-05-11 title_score=1.00 author_score=1.00 on 2026-08-13
die-vierzig-tage-des-musa-dagh__werfel-franz__1933,,,,,false,,nypl-cce-registrations+renewals,matched regnum=AF6841 regdate=1947-12-01 title_score=0.92 author_score=0.92 on 2026-08-13
emily-of-new-moon__montgomery-lucy-maud__1923,,,,,true,,nypl-cce-registrations+renewals,matched regnum=A752714 regdate=1923-08-24 title_score=1.00 author_score=1.00 on 2026-08-13
erasmus__huizinga-johan__1924,,,,,false,,nypl-cce-registrations+renewals,matched regnum=A793173 regdate=1924-04-25 title_score=1.00 author_score=0.83 on 2026-08-13
flame-in-chalice__roerich-nicholas__1942,,,,,false,,nypl-cce-registrations+renewals,matched regnum=A15598 regdate=1929-10-30 title_score=1.00 author_score=1.00 on 2026-08-13
gone-with-the-wind__mitchell-margaret__1936,,,,,true,,nypl-cce-registrations+renewals,matched regnum=A96258 regdate=1936-06-30 title_score=1.00 author_score=1.00 on 2026-08-13
grundbegriffe-der-neuen-gestaltenden-kunst__doesburg-theo-van__1924,,,,,false,,nypl-cce-registrations+renewals,matched regnum=AF33404 regdate=1925-04-15 title_score=1.00 author_score=1.00 on 2026-08-13
holism-and-evolution__smuts-jan-christiaan__1926,,,,,false,,nypl-cce-registrations+renewals,matched regnum=A950241 regdate=1926-09-28 title_score=1.00 author_score=1.00 on 2026-08-13
homo-ludens__huizinga-johan__1938,,,,,false,,nypl-cce-registrations+renewals,matched regnum=AI-2917 regdate=1949-02-11 title_score=1.00 author_score=1.00 on 2026-08-13
how-to-win-friends-and-influence-people__carnegie-dale__1936,,,,,true,,nypl-cce-registrations+renewals,matched regnum=A99796 regdate=1936-11-04 title_score=0.96 author_score=1.00 on 2026-08-13
ideologie-und-utopie__mannheim-karl__1929,,,,,false,,nypl-cce-registrations+renewals,matched regnum=AF4844 regdate=1929-05-31 title_score=1.00 author_score=1.00 on 2026-08-13
jahre-der-entscheidung__spengler-oswald__1933,,,,,false,,nypl-cce-registrations+renewals,matched regnum=AF24307 regdate=1933-08-19 title_score=1.00 author_score=1.00 on 2026-08-13
journal-d-un-cure-de-campagne__bernanos-georges__1936,,,,,true,,nypl-cce-registrations+renewals,matched regnum=AF32313 regdate=1936-03-25 title_score=0.97 author_score=1.00 on 2026-08-13
journal-1896-1942__ramuz-charles-ferdinand__1943,,,,,true,,nypl-cce-registrations+renewals,matched regnum=AF1890 regdate=1945-12-30 title_score=0.89 author_score=1.00 on 2026-08-13
juan-de-mairena__machado-antonio__1936,,,,,false,,nypl-cce-registrations+renewals,matched regnum=AFO-18648 regdate=1955-09-15 title_score=1.00 author_score=1.00 on 2026-08-13
jugend-ohne-gott__horvath-odon-von__1938,,,,,false,,nypl-cce-registrations+renewals,matched regnum=AF13704 regdate=1949-09-01 title_score=1.00 author_score=0.86 on 2026-08-13
le-petit-prince__saint-exupery-antoine-de__1943,,,,,true,,nypl-cce-registrations+renewals,matched regnum=A172160 regdate=1943-04-06 title_score=1.00 author_score=1.00 on 2026-08-13
letters-of-a-self-made-diplomat-to-his-president__rogers-will__1926,,,,,false,,nypl-cce-registrations+renewals,matched regnum=A950839 regdate=1926-10-29 title_score=1.00 author_score=1.00 on 2026-08-13
living-my-life__goldman-emma__1931,,,,,false,,nypl-cce-registrations+renewals,matched regnum=A43830 regdate=1931-10-23 title_score=1.00 author_score=1.00 on 2026-08-13
minute-mysteries-detectograms__ripley-h-a-harold-austin__1932,,,,,false,,nypl-cce-registrations+renewals,matched regnum=A55363 regdate=1932-09-28 title_score=0.97 author_score=0.91 on 2026-08-13
murder-on-the-links__christie-agatha__1923,,,,,true,,nypl-cce-registrations+renewals,matched regnum=A696851 regdate=1923-03-17 title_score=1.00 author_score=1.00 on 2026-08-13
my-best-games-of-chess-1924-1937__alekhine-alexander__1939,,,,,false,,nypl-cce-registrations+renewals,matched regnum=A137876 regdate=1939-12-07 title_score=1.00 author_score=1.00 on 2026-08-13
my-life__duncan-isadora__1927,,,,,true,,nypl-cce-registrations+renewals,matched regnum=A1013982 regdate=1927-12-14 title_score=1.00 author_score=1.00 on 2026-08-13
new-ways-in-psychoanalysis__horney-karen__1939,,,,,true,,nypl-cce-registrations+renewals,matched regnum=A126342 regdate=1939-02-25 title_score=1.00 author_score=1.00 on 2026-08-13
notes-as-vice-president-1928-1929__dawes-charles-g__1935,,,,,false,,nypl-cce-registrations+renewals,matched regnum=A86893 regdate=1935-10-18 title_score=0.97 author_score=0.88 on 2026-08-13
now-and-after__berkman-alexander__1929,,,,,false,,nypl-cce-registrations+renewals,matched regnum=A15127 regdate=1929-09-10 title_score=1.00 author_score=1.00 on 2026-08-13
orient-et-occident__guenon-rene__1924,,,,,false,,nypl-cce-registrations+renewals,matched regnum=AF25181 regdate=1924-06-19 title_score=1.00 author_score=1.00 on 2026-08-13
out-of-my-later-years__einstein-albert__1950,,,,,true,,nypl-cce-registrations+renewals,matched regnum=A41822 regdate=1950-03-15 title_score=1.00 author_score=1.00 on 2026-08-13
plague-ship__norton-andre__1956,,,,,false,,nypl-cce-registrations+renewals,matched regnum=A274945 regdate=1956-02-05 title_score=1.00 author_score=1.00 on 2026-08-13
poems__stevens-wallace__1945,,,,,false,,nypl-cce-registrations+renewals,matched regnum=A409939 regdate=1959-08-21 title_score=1.00 author_score=1.00 on 2026-08-13
poirot-investigates__christie-agatha__1924,,,,,true,,nypl-cce-registrations+renewals,matched regnum=A829233 regdate=1925-04-18 title_score=1.00 author_score=1.00 on 2026-08-13
reminiscences-of-a-stock-operator__lefevre-edwin__1923,,,,,true,,nypl-cce-registrations+renewals,matched regnum=A711055 regdate=1923-06-22 title_score=1.00 author_score=1.00 on 2026-08-13
riceyman-steps__bennett-arnold__1923,,,,,true,,nypl-cce-registrations+renewals,matched regnum=A766106 regdate=1923-11-16 title_score=1.00 author_score=1.00 on 2026-08-13
schloss-gripsholm__tucholsky-kurt__1931,,,,,false,,nypl-cce-registrations+renewals,matched regnum=AF12988 regdate=1931-01-01 title_score=1.00 author_score=1.00 on 2026-08-13
sexual-history-of-the-world-war-the__hirschfeld-magnus__1930,,,,,false,,nypl-cce-registrations+renewals,matched regnum=A74646 regdate=1934-08-20 title_score=0.94 author_score=1.00 on 2026-08-13
sous-le-soleil-de-satan__bernanos-georges__1926,,,,,false,,nypl-cce-registrations+renewals,matched regnum=AF31405 regdate=1926-04-01 title_score=0.92 author_score=0.90 on 2026-08-13
space-station-1__long-frank-belknap__1957,,,,,false,,nypl-cce-registrations+renewals,matched regnum=A304775 regdate=1957-09-12 title_score=1.00 author_score=1.00 on 2026-08-13
style-and-idea__schoenberg-arnold__1950,,,,,true,,nypl-cce-registrations+renewals,matched regnum=A44272 regdate=1950-05-15 title_score=1.00 author_score=0.91 on 2026-08-13
tarrano-the-conqueror__cummings-ray__1930,,,,,false,,nypl-cce-registrations+renewals,matched regnum=A22163 regdate=1930-04-12 title_score=1.00 author_score=1.00 on 2026-08-13
the-anatomy-of-revolution__brinton-crane__1938,,,,,false,,nypl-cce-registrations+renewals,matched regnum=A120940 regdate=1938-09-30 title_score=1.00 author_score=1.00 on 2026-08-13
the-animate-and-the-inanimate__sidis-william-james__1925,,,,,false,,nypl-cce-registrations+renewals,matched regnum=A872535 regdate=1925-10-02 title_score=1.00 author_score=1.00 on 2026-08-13
the-autobiography-of-alice-b-toklas__stein-gertrude__1933,,,,,true,,nypl-cce-registrations+renewals,matched regnum=A64890 regdate=1933-08-31 title_score=0.97 author_score=1.00 on 2026-08-13
the-autobiography-of-mother-jones__jones-mary-harris__1925,,,,,false,,nypl-cce-registrations+renewals,matched regnum=A861506 regdate=1925-08-15 title_score=1.00 author_score=0.89 on 2026-08-13
the-black-abbot__wallace-edgar__1927,,,,,true,,nypl-cce-registrations+renewals,matched regnum=A972937 regdate=1927-04-22 title_score=1.00 author_score=1.00 on 2026-08-13
the-blue-castle-a-novel__montgomery-l-m-lucy-maud__1926,,,,,true,,nypl-cce-registrations+renewals,matched regnum=A901631 regdate=1926-08-26 title_score=1.00 author_score=0.91 on 2026-08-13
the-bolshevik-myth-diary-19201922__berkman-alexander__1925,,,,,true,,nypl-cce-registrations+renewals,matched regnum=A823828 regdate=1925-03-21 title_score=0.97 author_score=1.00 on 2026-08-13
the-case-book-of-sherlock-holmes__doyle-arthur-conan__1927,,,,,true,,nypl-cce-registrations+renewals,matched regnum=A990606 regdate=1927-06-17 title_score=0.96 author_score=0.90 on 2026-08-13
the-colors-of-space__bradley-marion-zimmer__1963,,,,,false,,nypl-cce-registrations+renewals,matched regnum=A642015 regdate=1963-08-06 title_score=1.00 author_score=1.00 on 2026-08-13
the-dangerous-game__le-queux-william__1926,,,,,false,,nypl-cce-registrations+renewals,matched regnum=A890143 regdate=1926-03-30 title_score=1.00 author_score=1.00 on 2026-08-13
the-last-dragon__totheroh-dan__1927,,,,,false,,nypl-cce-registrations+renewals,matched regnum=A1004290 regdate=1927-09-16 title_score=1.00 author_score=1.00 on 2026-08-13
the-life-divine__ghosh-aurobindo__1939,,,,,false,,nypl-cce-registrations+renewals,matched regnum=A159894 regdate=1949-10-15 title_score=1.00 author_score=0.93 on 2026-08-13
the-man-in-the-brown-suit__christie-agatha__1924,,,,,true,,nypl-cce-registrations+renewals,matched regnum=A808553 regdate=1924-10-25 title_score=1.00 author_score=1.00 on 2026-08-13
the-murder-of-roger-ackroyd__christie-agatha__1926,,,,,true,,nypl-cce-registrations+renewals,matched regnum=A901185 regdate=1926-07-16 title_score=1.00 author_score=1.00 on 2026-08-13
the-murder-on-the-links__christie-agatha__1923,,,,,true,,nypl-cce-registrations+renewals,matched regnum=A696851 regdate=1923-03-17 title_score=1.00 author_score=1.00 on 2026-08-13
the-neurotic-personality-of-our-time__horney-karen__1937,,,,,true,,nypl-cce-registrations+renewals,matched regnum=A104049 regdate=1937-03-01 title_score=1.00 author_score=1.00 on 2026-08-13
the-secret-of-chimneys__christie-agatha__1925,,,,,true,,nypl-cce-registrations+renewals,matched regnum=A864455 regdate=1925-08-29 title_score=1.00 author_score=1.00 on 2026-08-13
the-secret-of-father-brown__chesterton-g-k-gilbert-keith__1927,,,,,true,,nypl-cce-registrations+renewals,matched regnum=A1004189 regdate=1927-09-15 title_score=1.00 author_score=0.92 on 2026-08-13
the-turning-point__mann-klaus__1942,,,,,true,,nypl-cce-registrations+renewals,matched regnum=A167645 regdate=1942-09-30 title_score=1.00 author_score=1.00 on 2026-08-13
the-universe-around-us__jeans-james-hopwood__1929,,,,,false,,nypl-cce-registrations+renewals,matched regnum=A13256 regdate=1929-09-10 title_score=1.00 author_score=0.90 on 2026-08-13
the-wheel-of-earth__sandburg-helga__1958,,,,,false,,nypl-cce-registrations+renewals,matched regnum=A341961 regdate=1953-04-18 title_score=1.00 author_score=0.82 on 2026-08-13
under-milk-wood__thomas-dylan__1950,,,,,true,,nypl-cce-registrations+renewals,matched regnum=AIO-4247 regdate=1954-03-05 title_score=1.00 author_score=1.00 on 2026-08-13
war-memoirs-of-david-lloyd-george__george-david-lloyd__1933,,,,,false,,nypl-cce-registrations+renewals,matched regnum=A65526 regdate=1933-10-06 title_score=1.00 author_score=1.00 on 2026-08-13
washington-confidential__lait-jack__1951,,,,,false,,nypl-cce-registrations+renewals,matched regnum=A53088 regdate=1951-02-28 title_score=1.00 author_score=1.00 on 2026-08-13
when-the-mountain-fell__ramuz-charles-ferdinand__1947,,,,,false,,nypl-cce-registrations+renewals,matched regnum=A18262 regdate=1947-10-09 title_score=1.00 author_score=1.00 on 2026-08-13
whispers-from-eternity__yogananda-paramahansa__1935,,,,,true,,nypl-cce-registrations+renewals,matched regnum=A405456 regdate=1959-06-15 title_score=1.00 author_score=1.00 on 2026-08-13
whose-body__sayers-dorothy-l__1923,,,,,false,,nypl-cce-registrations+renewals,matched regnum=A705628 regdate=1923-05-11 title_score=1.00 author_score=1.00 on 2026-08-13
