book_id,country_of_first_publication,simultaneous_us_publication,is_anonymous_pseudonymous_or_corporate,had_copyright_notice_at_publication,renewal_filed,creation_year,source,notes
all-quiet-on-the-western-front__remarque-erich-maria__1929,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE050763, renewed 1980, class PWH)"
dodsworth__lewis-sinclair__1929,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R167120, renewed 1956, class C)"
dark-hester__sedgwick-anne-douglas__1929,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R183511, renewed 1957, class Wr)"
the-bishop-murder-case__dine-s-s-van__1929,,,,,,,stanford-copyright-renewal-db,"UNCERTAIN: possible renewal for this author needs manual check (closest CRD id R280605, 'The dragon murder case, (A Philo Vance s', renewed 1961)"
roper-s-row__deeping-warwick__1929,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R185544, renewed 1957, class W)"
peder-victorious__rolvaag-o-e__1929,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R172587, renewed 1956, class W)"
cimarron__ferber-edna__1930,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R188561, renewed 1957, class A)"
exile__deeping-warwick__1930,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R202967, renewed 1957, class W)"
the-woman-of-andros__wilder-thornton__1930,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R203128, renewed 1957, class A)"
years-of-grace__barnes-margaret-ayer__1930,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R213033, renewed 1958, class A)"
angel-pavement__priestley-j-b__1930,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R206386, renewed 1958, class A)"
the-door__rinehart-mary-roberts__1930,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R214562, renewed 1958, class A)"
the-good-earth__buck-pearl-s__1931,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R210027, renewed 1958, class A)"
shadows-on-the-rock__cather-willa__1931,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R225125, renewed 1958, class E)"
a-white-bird-flying__aldrich-bess-streeter__1931,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R225329, renewed 1958, class C)"
grand-hotel__baum-vicki__1931,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R222221, renewed 1958, class PWH)"
the-road-back__remarque-erich-maria__1931,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R217766, renewed 1958, class PWH)"
the-fountain__morgan-charles-langbridge__1932,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R249899, renewed 1960, class W)"
sons__buck-pearl-s__1932,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R242722, renewed 1959, class A)"
magnolia-street__golding-louis__1932,,,,,false,,stanford-copyright-renewal-db,no renewal found in Stanford CRD (author renews other works there)
the-sheltered-life__glasgow-ellen__1932,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R241699, renewed 1959, class E)"
old-wine-and-new__deeping-warwick__1932,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R253295, renewed 1960, class W)"
anthony-adverse__allen-hervey__1933,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R263353, renewed 1960, class W)"
as-the-earth-turns__carroll-gladys-hasty__1933,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R260263, renewed 1960, class A)"
ann-vickers__lewis-sinclair__1933,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R251368, renewed 1960, class C)"
magnificent-obsession__douglas-lloyd-c__1933,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R183524, renewed 1957, class C)"
one-more-river__galsworthy-john__1933,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R270183, renewed 1961, class PPW)"
forgive-us-our-trespassers__douglas-lloyd-c__1933,,,,,,,stanford-copyright-renewal-db,"UNCERTAIN: possible renewal for this author needs manual check (closest CRD id R252389, 'Forgive us our trespasses', renewed 1960)"
lamb-in-his-bosom__miller-caroline__1934,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R263578, renewed 1960, class A)"
so-red-the-rose__young-stark__1934,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R292201, renewed 1962, class A)"
good-bye-mr-chips__hilton-james__1934,,,,,false,,stanford-copyright-renewal-db,no renewal found in Stanford CRD (author renews other works there)
within-this-present__barnes-margaret-ayer__1934,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R265462, renewed 1960, class A)"
work-of-art__lewis-sinclair__1934,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R270489, renewed 1961, class C)"
green-light__douglas-lloyd-c__1935,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R295479, renewed 1962, class C)"
